float_list_bubble_sort
1
81
699
2216
5027
8592
13462
22150
30705
47999
58325
86702
76095
99746
188994
212551
270517
305444
385185
442860
510189
606745
683444
815047
727167
916420
1.09286e+06
1.27158e+06
1.25125e+06
1.61266e+06
1.46261e+06
1.54661e+06
2.00823e+06
2.34491e+06
2.30788e+06
2.74165e+06
2.93342e+06
3.39744e+06
3.66712e+06
3.66662e+06
4.16583e+06
3.34123e+06
4.87484e+06
5.35935e+06
4.08996e+06
5.92966e+06
6.02553e+06
6.45894e+06
7.02946e+06
7.72276e+06
