int_sorted_list_shell_sort
1
22
90
198
389
588
924
1454
1836
2049
2322
2604
3075
4005
5142
5608
5979
7246
6749
9388
8700
11000
11173
13119
13119
13028
13603
13974
16467
16987
17975
21043
20843
21443
22042
23624
25255
31987
34195
33575
31306
34115
39259
39343
37076
45000
43269
44572
45342
48366
