float_list_quick_sort
0
23
65
71
133
253
323
497
729
783
985
1187
1530
1755
1986
2475
2968
3576
3666
4103
4201
4910
5459
5880
6666
6743
8978
7882
8125
8664
10475
10891
10984
12882
14450
15852
14696
17907
17357
17921
18389
22925
26160
24507
25276
24568
23680
26069
29081
30761
