int_equal_array_shell_sort
6
5
11
16
26
33
38
53
61
69
90
73
79
100
108
119
123
131
139
146
153
161
169
177
184
192
233
237
245
254
263
272
280
289
298
287
249
256
262
271
277
285
291
298
304
371
319
324
334
338
