int_equal_array_bubble_sort
3
5
13
42
47
73
105
143
227
236
308
467
419
511
573
671
756
845
969
1187
1320
1981
2115
2302
2531
2722
2763
4007
2855
2811
2761
2887
3428
3563
3842
4141
5171
4879
4737
4996
5178
5314
7356
5487
6407
7097
6695
6726
6746
7374
