int_array_bubble_sort
2
12
51
112
199
315
443
629
817
1003
1371
1723
1688
1710
1767
1920
2447
2741
2731
2950
2828
2983
3358
3410
4148
4669
6085
5781
6273
6247
6244
6736
6761
7649
7902
9419
8138
9379
9998
9812
10429
10461
10125
11901
12178
12570
13034
13984
13898
15272
