int_list_bubble_sort
0
41
219
888
2792
3623
6090
11743
16098
21927
29971
39557
59644
70302
95117
130538
131017
154670
180567
204786
236144
297655
359055
389667
435842
501375
580440
1.19149e+06
1.47096e+06
1.59468e+06
1.79975e+06
1.92944e+06
1.43735e+06
1.24025e+06
1.2927e+06
1.3015e+06
1.40351e+06
1.54502e+06
2.24629e+06
3.31994e+06
1.93077e+06
2.12928e+06
2.29207e+06
2.41628e+06
2.64242e+06
2.83911e+06
3.05653e+06
3.25649e+06
3.47287e+06
6.8334e+06
