int_equal_list_bubble_sort
1
34
152
575
1557
2493
4557
6860
9929
13781
18463
26024
31626
39086
47597
64719
89131
96428
100852
112546
143480
163050
201967
223693
233900
251810
328735
347026
371355
429557
458712
539515
563421
601948
698825
743266
784303
852476
952387
1.03094e+06
1.15631e+06
1.2381e+06
1.29145e+06
1.41338e+06
1.53581e+06
1.60999e+06
1.65898e+06
1.94486e+06
2.00938e+06
4.10437e+06
