int_sorted_array_bubble_sort
1
9
35
78
139
217
312
514
693
961
1135
1526
1563
2009
1729
1755
2216
2878
3393
4290
3620
3816
4742
5460
6024
7175
6056
7581
6917
7209
8874
8744
8882
7936
9664
8911
9339
10070
10790
10805
11836
11715
12202
12820
12608
13215
14692
14429
15870
15795
