int_sorted_list_quick_sort
1
14
71
216
532
933
1687
2954
3731
5258
7485
12947
12843
18593
19564
21246
24278
28653
32241
37833
43623
57563
64427
75595
78291
91585
102846
112136
122899
133869
147997
166680
180882
195401
218032
233374
256101
277270
304651
322715
362930
411736
428294
489310
1.11824e+06
1.2788e+06
1.33712e+06
972195
784695
641494
