float_array_bubble_sort
0
6
41
57
101
197
216
301
429
498
620
751
942
1033
1590
1326
1536
2036
2443
2564
3203
2872
3554
3628
3719
4371
4409
4771
5392
5386
5603
5873
6301
8166
7742
8787
8261
9728
11093
10052
10970
11553
11313
12234
11339
12749
11996
13254
15048
13418
