int_sorted_list_bubble_sort
0
50
437
1348
3164
6640
9517
15612
23380
32734
44381
58632
77767
103538
133617
164689
183269
216779
261504
301907
356603
397502
478182
514288
586142
708999
927780
1.03353e+06
978578
1.06272e+06
1.17336e+06
1.2724e+06
1.39154e+06
1.51536e+06
1.66526e+06
1.79506e+06
1.96221e+06
2.14697e+06
2.30556e+06
2.4807e+06
2.71112e+06
5.73113e+06
4.41512e+06
3.3833e+06
3.62347e+06
3.85812e+06
4.12164e+06
4.3992e+06
4.67634e+06
4.95642e+06
